Name,Phone,Address,Opening Hours,Type,Rating,Has Deliveries,Has Table Reservation,Has Menu,Has Sending A Massage,Facebook Url,Instagram Url,Home Page Url,Positive Reviews Count,Negative Reviews Count,Expert Reviews Count,Number Of Visits In Last Month,Number Of Reviews,Number Of Top 3,Has Discounts And Benefits,Postal Code
Fresh Coffee Origin,03-9223111,"Dizengoff 203, Tel Aviv-Yafo","Sunday
  07: 30-18: 00
Monday
  07: 30-18: 00
Tuesday
  07: 30-18: 00
Wednesday
  07: 30-18: 00
Thursday
  07: 30-18: 00
Friday
  08: 00-16: 00
Saturday
  08: 00-16: 00",coffee shop,9.4,False,False,False,True,https://www.facebook.com/1890658914552211,https://www.instagram.com,http://origem.co.il,5,2,0.0,1434,1331,4,False,6311502
Anastasia,03-5290095,"Frishman 54, Tel Aviv-Yafo","Sunday
  08: 00-23: 30
Monday
  08: 00-23: 30
Tuesday
  08: 00-23: 30
Wednesday
  08: 00-23: 30
Thursday
  08: 00-23: 30
Friday
  08: 00-17: 00
Saturday
  09: 00-23: 30",coffee shop,9.3,True,True,True,False,https://www.facebook.com/629001720507782,https://www.instagram.com/Anastasiatlv/,http://www.anastasiatlv.co.il,35,4,0.0,2919,7558,14,False,6439518
At Micha's,03-6242975,"Ben Yehuda 191, Tel Aviv-Yafo","Sunday
  10: 00-16: 00
Monday
  10: 00-16: 00
Tuesday
  10: 00-16: 00
Wednesday
  10: 00-16: 00
Thursday
  10: 00-16: 00
Friday
  09: 00-15: 00
Saturday
 closed",Hummus,8.6,True,False,True,True,https://www.facebook.com/116061348556367,https://www.instagram.com,https://www.google.com,27,0,0.0,533,553,10,True,6347308
corridor,03-5233223,"Mendele sells books 6, Tel Aviv-Yafo","Sunday
  12: 00-24: 00
Monday
  12: 00-24: 00
Tuesday
  12: 00-24: 00
Wednesday
  12: 00-24: 00
Thursday
  12: 00-24: 00
Friday
  12: 00-24: 00
Saturday
  12: 00-24: 00",Hamburgeria,9.8,True,True,True,True,https://www.facebook.com/1742561719300419,https://www.instagram.com,http://www.prozdor.co.il,125,17,5.0,2991,5,70,False,6390707
Lila,03-5168244,"Merhavia 4, Tel Aviv-Yafo","Sunday
  13: 00-24: 00
Monday
  13: 00-24: 00
Tuesday
  13: 00-24: 00
Wednesday
  13: 00-24: 00
Thursday
  13: 00-24: 00
Friday
 closed
Saturday
  12: 00-24: 00",Pizzeria,8.1,False,False,False,True,https://www.facebook.com/939055809590549,https://www.instagram.com,https://www.google.com,37,2,2.0,1821,2,24,False,6610604
With bar,03-6956276,"52 Chen Blvd., Tel Aviv-Yafo","Sunday
  12: 00-24: 00
Monday
  12: 00-24: 00
Tuesday
  12: 00-24: 00
Wednesday
  12: 00-24: 00
Thursday
  12: 00-24: 00
Friday
  12: 00-24: 00
Saturday
  12: 00-24: 00",Meat restaurant chain,8.7,False,True,True,False,https://www.facebook.com/TheMeatBar,https://www.instagram.com,http://www.meatbar.co.il,44,7,4.0,3054,4,22,False,6416712
Onuma,03-6981155,"Carlebach 15, Tel Aviv-Yafo","Sunday
  18: 00-23: 00
Monday
  18: 00-23: 00
Tuesday
  18: 00-23: 00
Wednesday
  18: 00-23: 00
Thursday
  18: 00-23: 00
Friday
 closed
Saturday
 closed",Thai restaurant,9.3,False,True,True,True,https://www.facebook.com/OnaumaAuthenticThaiFood,https://www.instagram.com/onaumathaikitchen/,http://www.onauma.co.il,7,0,1.0,1180,1,6,False,6713217
The pizza,03-5281077,"Bograshov 51, Tel Aviv-Yafo","Sunday
  11: 30-00: 30
Monday
  11: 30-00: 30
Tuesday
  11: 30-00: 30
Wednesday
  11: 30-00: 30
Thursday
  11: 30-00: 30
Friday
  11: 00-17: 00
Saturday
  18: 00-00: 30",Pizzeria,7.3,False,False,True,False,https://www.facebook.com/hapizzatlv,https://www.instagram.com,http://80064157.rest.co.il,37,4,1.0,1599,1,16,False,6314515
Nam,03-6708050,"Dizengoff 275, Tel Aviv-Yafo","Sunday
  12: 00-17: 00
 18: 30-23: 30
Monday
  12: 00-17: 00
 18: 30-23: 30
Tuesday
  12: 00-17: 00
 18: 30-23: 30
Wednesday
  12: 00-17: 00
 18: 30-23: 30
Thursday
  12: 00-17: 00
 18: 30-23: 30
Friday
  12: 00-17: 00
 18: 30-23: 30
Saturday
  12: 00-17: 00
 18: 30-23: 30",Thai restaurant chain,8.7,True,True,False,True,https://www.facebook.com/613188245532010,https://www.instagram.com/nam_restaurant/,http://namrestaurant.co.il,55,5,4.0,2234,4,25,False,6311804
Pua,03-6823821,"Rabbi Yochanan 8, Tel Aviv-Yafo","Sunday
  09: 00-01: 00
Monday
  09: 00-01: 00
Tuesday
  09: 00-01: 00
Wednesday
  09: 00-01: 00
Thursday
  09: 00-01: 00
Friday
  09: 00-01: 00
Saturday
 closed",coffee shop,9.4,False,True,True,True,https://www.facebook.com/141699945842242,https://www.instagram.com,http://puaa.co.il,45,1,0.0,2085,6670,11,False,6813814
Chikti,03-6853499,"Yehuda Halevi 58, Tel Aviv-Yafo","Sunday
  17: 00-24: 00
Monday
  17: 00-24: 00
Tuesday
  17: 00-24: 00
Wednesday
  17: 00-24: 00
Thursday
  17: 00-01: 00
Friday
  12: 00-16: 00
 18: 30-24: 00
Saturday
  12: 00-16: 00",Restaurant,9.8,False,True,False,True,https://www.facebook.com/233858193472196,https://www.instagram.com,https://www.google.com,22,1,2.0,2547,2,5,False,6579702
Tommy's Pizza,077-9520993,"Allenby 113, Tel Aviv-Yafo","Sunday
  11: 00-05: 30
Monday
  11: 00-05: 30
Tuesday
  11: 00-05: 30
Wednesday
  11: 00-05: 30
Thursday
  11: 00-05: 30
Friday
 closed
Saturday
  19: 30-05: 00",Pizzeria,8.8,True,False,True,False,https://www.facebook.com/238951316793138,https://www.instagram.com,https://www.google.com,34,1,0.0,2007,296,18,False,6581706
Green Roll,03-5245731,"Ahad Ha'am 15, Tel Aviv-Yafo","Sunday
  11: 00-22: 30
Monday
  11: 00-22: 30
Tuesday
  11: 00-22: 30
Wednesday
  11: 00-22: 30
Thursday
  11: 00-22: 30
Friday
  12: 00-16: 30
Saturday
 closed",Sushi,7.9,True,False,True,True,https://www.facebook.com/thegreenroll,https://www.instagram.com/Greenrollsushi/,http://thegreenroll.co.il,43,2,0.0,1200,2309,15,True,6514101
Sudokh,077-8280808,"Locksmith 64, Tel Aviv-Yafo","Sunday
  08: 30-04: 30
Monday
  08: 30-04: 30
Tuesday
  08: 30-04: 30
Wednesday
  08: 30-24: 00
Thursday
  00: 00-06: 00
 08: 30-24: 00
Friday
 closed
Saturday
  00: 00-04: 30
 18: 00-04: 30",Sausage toast net,7.5,True,False,True,False,https://www.facebook.com,https://www.instagram.com,http://suduch.co.il,27,0,0.0,2904,86,0,True,6721712
La Market,073-7829069,"Dizengoff 92, Tel Aviv-Yafo","Sunday
  12: 00-23: 30
Monday
  12: 00-23: 30
Tuesday
  12: 00-23: 30
Wednesday
  12: 00-23: 30
Thursday
  12: 00-23: 30
Friday
  12: 00-23: 30
Saturday
  12: 00-23: 30",Mediterranean restaurant,8.2,False,True,False,True,https://www.facebook.com/158905194178797,https://www.instagram.com,http://la-shuk.co.il,22,2,1.0,2362,1,6,False,6433264
The green cat,073-7327361,"Levontin 7, Tel Aviv-Yafo","Sunday
  18: 00-24: 00
Monday
  18: 00-24: 00
Tuesday
  18: 00-24: 00
Wednesday
  18: 00-24: 00
Thursday
  18: 00-24: 00
Friday
  10: 00-16: 00
Saturday
  18: 00-24: 00",Pizzeria,8.5,True,False,False,False,https://www.facebook.com/1429385777322562,https://www.instagram.com,https://www.google.com,14,3,0.0,620,1878,4,True,6511106
Porter & Sons,03-6244355,"The Four 14, Tel Aviv-Yafo","Sunday
  17: 00-24: 00
Monday
  17: 00-24: 00
Tuesday
  17: 00-24: 00
Wednesday
  17: 00-24: 00
Thursday
  17: 00-24: 00
Friday
  17: 00-01: 00
Saturday
  12: 00-24: 00",A steakhouse,7.8,True,True,True,True,https://www.facebook.com/porterandsons,https://www.instagram.com/porterandsons/,http://porter.co.il,35,4,5.0,2131,5,9,False,6473914
Allegria,03-6136964,"Ibn Gvirol 165, Tel Aviv-Yafo","Sunday
  17: 00-22: 00
Monday
  17: 00-22: 00
Tuesday
  17: 00-22: 00
Wednesday
  17: 00-22: 00
Thursday
  17: 00-22: 00
Friday
  17: 00-01: 00
Saturday
  12: 00-22: 00",Vegan restaurant,8.4,True,False,True,True,https://www.facebook.com/396499127147291,https://www.instagram.com,http://www.alegriatlv.com/about,12,1,1.0,1184,1,0,True,6203305
Salouf and Sons,03-5221344,"Nahalat Binyamin 80, Tel Aviv-Yafo","Sunday
  12: 00-19: 00
Monday
  12: 00-19: 00
Tuesday
  12: 00-19: 00
Wednesday
  12: 00-19: 00
Thursday
  12: 00-19: 00
Friday
  10: 00-16: 00
Saturday
 closed",Yemeni restaurant,9.6,False,False,True,False,https://www.facebook.com/622591387867546,https://www.instagram.com,http://salufandsons.co.il,35,0,1.0,736,1,5,False,6652504
Bar Morocco,03-7595195,"Sokolov 54, Holon","Sunday
  11: 30-23: 30
Monday
  11: 30-23: 30
Tuesday
  11: 30-23: 30
Wednesday
  11: 30-23: 30
Thursday
  11: 30-23: 30
Friday
  11: 00-17: 30
Saturday
  21: 00-24: 00",Grill bar,6.6,False,False,True,True,https://www.facebook.com/107332654134348,https://www.instagram.com/bar_maroc_/,http://barmaroc.co.il,57,2,1.0,1101,1,18,True,5832205
Alma Coffee,074-7037474,"Yehuda Hayamit 19, Tel Aviv-Yafo","Sunday
  07: 00-22: 00
Monday
  07: 00-22: 00
Tuesday
  07: 00-22: 00
Wednesday
  07: 00-22: 00
Thursday
  07: 00-22: 00
Friday
  07: 00-22: 00
Saturday
  08: 00-22: 00",coffee shop,7.3,False,False,True,True,https://www.facebook.com/737070766304119,https://www.instagram.com,http://cafealma.co.il,36,2,0.0,1559,1187,11,True,6809117
Tenata,03-5222829,"Chelnov 27, Tel Aviv-Yafo","Sunday
  12: 00-23: 00
Monday
  12: 00-23: 00
Tuesday
  12: 00-23: 00
Wednesday
  12: 00-23: 00
Thursday
  12: 00-23: 00
Friday
  11: 00-16: 00
Saturday
 closed",Ethiopian restaurant,8.6,False,False,True,False,https://www.facebook.com/523059361046815,https://www.instagram.com,https://www.google.com,15,1,0.0,488,1302,5,True,6604810
b12 karlibach tlv,03-7327888,"Carlebach 12, Tel Aviv-Yafo","Sunday
  11: 00-23: 00
Monday
  11: 00-23: 00
Tuesday
  11: 00-23: 00
Wednesday
  11: 00-23: 00
Thursday
  11: 00-24: 00
Friday
  11: 00-23: 00
Saturday
 closed",A steakhouse,9.6,False,False,True,True,https://www.facebook.com/1684123458577702,https://www.instagram.com/b12_karlibach/,http://b12-tlv.co.il,41,7,2.0,1120,2,10,False,6473001
Peck Hi,03-5063202,"Eliyahu Krause 45, Holon","Sunday
 closed
Monday
  12: 00-21: 00
Tuesday
  12: 00-21: 00
Wednesday
  12: 00-21: 00
Thursday
  12: 00-21: 00
Friday
  12: 00-22: 00
Saturday
  12: 00-20: 00",Chinese restaurant,6.5,True,False,True,True,https://www.facebook.com/889995551071415,https://www.instagram.com,https://www.google.com,43,4,0.0,2145,916,24,False,5829413
Gemma,03-6058276,"Tirza 14, Tel Aviv-Yafo","Sunday
  12: 00-24: 00
Monday
  12: 00-24: 00
Tuesday
  12: 00-24: 00
Wednesday
  12: 00-24: 00
Thursday
  12: 00-24: 00
Friday
  12: 00-24: 00
Saturday
  12: 00-24: 00",Italian restaurant,7.1,False,True,True,True,https://www.facebook.com/231178907071654,https://www.instagram.com,http://gemma.co.il,78,5,2.0,2174,2,31,False,6811556
Osaria,03-5330899,"Matalon 44, Tel Aviv-Yafo","Sunday
  12: 00-23: 00
Monday
  12: 00-23: 00
Tuesday
  12: 00-23: 00
Wednesday
  12: 00-23: 00
Thursday
  12: 00-23: 30
Friday
  12: 00-23: 00
Saturday
 closed",Restaurant bar,9.2,True,True,False,False,https://www.facebook.com/223062711130631,https://www.instagram.com,http://ouzeria.co.il,19,1,3.0,800,3,4,False,6652712
Brooklyn Pizza,03-6877748,"Dizengoff 276, Tel Aviv-Yafo","Sunday
  14: 00-01: 00
Monday
  14: 00-01: 00
Tuesday
  14: 00-01: 00
Wednesday
  14: 00-01: 00
Thursday
  14: 00-03: 00
Friday
  12: 00-17: 00
Saturday
  14: 00-01: 00",Pizzeria,7.1,True,False,True,True,https://www.facebook.com/1020305308090762,https://www.instagram.com,http://www.brooklynpizza.co.il,32,2,0.0,1066,2704,14,False,6311629
America Burgers,03-5280281,"Allenby 112, Tel Aviv-Yafo","Sunday
  12: 00-24: 00
Monday
  12: 00-24: 00
Tuesday
  12: 00-24: 00
Wednesday
  12: 00-24: 00
Thursday
  12: 00-24: 00
Friday
  12: 00-24: 00
Saturday
  12: 00-24: 00",Hamburgeria,7.7,True,False,False,True,https://www.facebook.com/571659522977118,https://www.instagram.com,http://americaburgers.com,90,11,5.0,1553,5,33,False,6581705
WayCup,03-5508388,"Yohanan Hasandler 23, Tel Aviv-Yafo","Sunday
  06: 30-20: 00
Monday
  06: 30-20: 00
Tuesday
  06: 30-20: 00
Wednesday
  06: 30-20: 00
Thursday
  06: 30-20: 00
Friday
  06: 30-16: 45
Saturday
 closed",coffee shop,7.8,False,False,False,True,https://www.facebook.com/waycupcoffeetlv,https://www.instagram.com,https://www.google.com,4,0,0.0,398,855,0,False,6382222
Mescal,03-5187925,"Vital 2, Tel Aviv-Yafo","Sunday
 closed
Monday
  17: 00-01: 00
Tuesday
  17: 00-01: 00
Wednesday
  17: 00-01: 00
Thursday
  17: 00-01: 00
Friday
  17: 00-01: 00
Saturday
  17: 00-01: 00",Mexican restaurant,9.3,True,True,True,True,https://www.facebook.com/258738410909537,https://www.instagram.com,http://mezcaltlv.co.il,29,4,2.0,949,2,6,False,6608802
Beautiful,03-5276186,"King Solomon 38, Tel Aviv-Yafo","Sunday
  08: 00-22: 30
Monday
  08: 00-22: 30
Tuesday
  08: 00-22: 30
Wednesday
  08: 00-22: 30
Thursday
  08: 00-22: 30
Friday
 closed
Saturday
  17: 00-23: 30",Cafe Restaurant,9.1,True,False,False,False,https://www.facebook.com/cafeshine,https://www.instagram.com,http://shine38.com,33,1,1.0,618,1,8,False,6437827
Silk,03-7500999,"Mandali Book Seller 5, Tel Aviv-Yafo (Courteous Hotel)","Sunday
  12: 30-16: 00
 18: 30-23: 30
Monday
  12: 30-16: 00
 18: 30-23: 30
Tuesday
  12: 30-16: 00
 18: 30-23: 30
Wednesday
  12: 30-16: 00
 18: 30-23: 30
Thursday
  12: 30-16: 00
 18: 30-23: 30
Friday
  10: 00-15: 00
 18: 00-23: 30
Saturday
  12: 00-16: 00
 18: 30-23: 30",Restaurant,7.9,True,True,True,True,https://www.facebook.com/1556778777904304,https://www.instagram.com/mashya_restaurant/,http://mashya.co.il,30,3,6.0,2697,6,5,False,6390705
Munar,03-9171229,"Nahalat Binyamin 68, Tel Aviv-Yafo","Sunday
  12: 00-16: 00
Monday
  12: 00-16: 00
Tuesday
  12: 00-16: 00
Wednesday
  12: 00-16: 00
Thursday
  12: 00-16: 00
Friday
  12: 00-15: 30
Saturday
 closed",Indian restaurant,7.2,False,False,True,True,https://www.facebook.com/munnar.tlv,https://www.instagram.com/munnar_tlv/,http://munnartlv.co.il,17,1,2.0,789,2,5,True,6610202
Kitchen Market,03-5446669,"Port Market (Hangar 12), Tel Aviv-Yafo","Sunday
  18: 00-23: 30
Monday
  12: 00-16: 00
 18: 30-23: 30
Tuesday
  12: 00-16: 00
 18: 30-23: 30
Wednesday
  12: 00-16: 00
 18: 30-23: 30
Thursday
  12: 00-16: 00
 18: 30-23: 30
Friday
  12: 00-16: 00
 18: 30-23: 30
Saturday
  12: 00-17: 00
 18: 30-23: 30",Restaurant,7.7,True,True,False,True,https://www.facebook.com/227395437298247,https://www.instagram.com/kitchenmarket/,http://kitchen-market.co.il,10,0,3.0,1333,3,0,False,6070631
26 Gourmet Hamburger,03-6005109,"Mikve Israel 26, Tel Aviv-Yafo","Sunday
  12: 00-24: 00
Monday
  12: 00-24: 00
Tuesday
  12: 00-24: 00
Wednesday
  12: 00-24: 00
Thursday
  12: 00-24: 00
Friday
  12: 00-01: 00
Saturday
  12: 00-01: 00",Hamburgeria,7.8,False,False,True,True,https://www.facebook.com/653991681406777,https://www.instagram.com/Hamburgergourmet/,http://hamburgergourmet26.com,58,8,9.0,1495,9,33,False,6511523
Schneur Coffee,03-6296519,"Pinsker 20, Tel Aviv-Yafo","Sunday
  07: 30-23: 00
Monday
  07: 30-23: 00
Tuesday
  07: 30-23: 00
Wednesday
  07: 30-23: 00
Thursday
  07: 30-23: 00
Friday
  07: 30-18: 00
Saturday
 closed",coffee shop,9.0,True,False,True,True,https://www.facebook.com/575835699106511,https://www.instagram.com,http://shneor-cafe.com,40,2,0.0,1031,1605,12,False,6342110
Falafel desire,050-7202099,"King George 17, Tel Aviv-Yafo","Sunday
  09: 00-19: 00
Monday
  09: 00-19: 00
Tuesday
  09: 00-19: 00
Wednesday
  09: 00-19: 00
Thursday
  09: 00-19: 00
Friday
  09: 00-14: 00
Saturday
 closed",Falafel,9.6,True,False,False,True,https://www.facebook.com/356843351036485,https://www.instagram.com,https://www.google.com,18,0,0.0,411,1037,8,False,6329011
416,03-7755060,"The Four 16, Tel Aviv-Yafo","Sunday
  12: 00-23: 00
Monday
  12: 00-23: 00
Tuesday
  12: 00-23: 00
Wednesday
  12: 00-23: 00
Thursday
  12: 00-23: 00
Friday
  12: 00-23: 00
Saturday
  12: 00-23: 00",Vegan restaurant,8.1,True,True,True,True,https://www.facebook.com/1335825046433011,https://www.instagram.com/fouronesix_tlv/,http://416tlv.com,52,6,2.0,1164,2,21,True,6473916
Goodness,03-9384499,"King George 41, Tel Aviv-Yafo","Sunday
  11: 00-23: 00
Monday
  11: 00-23: 00
Tuesday
  11: 00-23: 00
Wednesday
  11: 00-23: 00
Thursday
  11: 00-23: 30
Friday
  11: 00-23: 00
Saturday
  12: 00-23: 00",Vegan restaurant,7.0,False,False,True,True,https://www.facebook.com/1882611811957043,https://www.instagram.com,http://goodness.co.il,58,2,0.0,642,4079,26,False,6329913
Port 19,03-7397020,"The Hasmoneans 95, Tel Aviv-Yafo","Sunday
  11: 30-24: 00
Monday
  11: 30-24: 00
Tuesday
  11: 30-24: 00
Wednesday
  11: 30-24: 00
Thursday
  11: 30-24: 00
Friday
  11: 30-16: 00
Saturday
  12: 30-24: 00",Hamburgeria,8.9,True,False,True,False,https://www.facebook.com/151644262127355,https://www.instagram.com,http://sodhabasar.co.il/html5/?_id=13217&amp;did=1383&amp;G=13217,75,7,8.0,1551,8,28,False,6713312
C 17,03-9442773,"Jeremiah 17, Tel Aviv-Yafo","Sunday
  10: 00-23: 00
Monday
  10: 00-23: 00
Tuesday
  10: 00-23: 00
Wednesday
  10: 00-23: 00
Thursday
  10: 00-23: 00
Friday
  09: 00-16: 00
Saturday
 closed",Vegan restaurant,7.8,True,True,True,True,https://www.facebook.com/156087748454333,https://www.instagram.com/Vegan.j17/,http://j17.co.il,48,1,0.0,839,2147,24,True,6259403
A place of meat,03-5104020,"Shabazi 64, Tel Aviv-Yafo","Sunday
  12: 00-24: 00
Monday
  12: 00-24: 00
Tuesday
  12: 00-24: 00
Wednesday
  12: 00-24: 00
Thursday
  12: 00-24: 00
Friday
  12: 00-24: 00
Saturday
  12: 00-24: 00",A steakhouse,7.0,True,True,True,False,https://www.facebook.com/115217685217487,https://www.instagram.com,http://makomshelbasar.rest.co.il,34,3,1.0,1941,1,11,False,6514437
Citizen,054-5566431,"Montefiore 15, Tel Aviv-Yafo","Sunday
  10: 00-18: 00
Monday
  10: 00-18: 00
Tuesday
  10: 00-18: 00
Wednesday
  10: 00-18: 00
Thursday
  10: 00-18: 00
Friday
 closed
Saturday
 closed",coffee shop,7.9,True,False,True,True,https://www.facebook.com/758751150975393,https://www.instagram.com/citizen_tlv/,http://www.citizengardentlv.com,5,1,1.0,772,1,0,False,6516402
Babette,03-6915025,"Chafetz Chaim 8, Tel Aviv-Yafo","Sunday
  20: 00-01: 00
Monday
  20: 00-01: 00
Tuesday
  20: 00-01: 00
Wednesday
  20: 00-01: 00
Thursday
  20: 00-01: 00
Friday
 closed
Saturday
  20: 00-01: 00",coffee shop,7.5,True,False,False,False,https://www.facebook.com/188139031310606,https://www.instagram.com,https://www.google.com,18,3,1.0,830,1,6,False,6744122
Pankina,03-6449793,"YL Gordon 39, Tel Aviv-Yafo","Sunday
  12: 00-23: 30
Monday
  12: 00-24: 00
Tuesday
  12: 00-24: 00
Wednesday
  12: 00-23: 30
Thursday
  12: 00-24: 00
Friday
 closed
Saturday
 closed",Italian restaurant,9.5,False,True,True,True,https://www.facebook.com/856632707774178,https://www.instagram.com,http://pankina.rol.co.il,47,5,0.0,2521,1505,16,True,6346149
Edmund,050-5959386,"Yehuda Halevi 33, Tel Aviv-Yafo","Sunday
  07: 00-20: 00
Monday
  07: 00-20: 00
Tuesday
  07: 00-20: 00
Wednesday
  07: 00-20: 00
Thursday
  07: 00-20: 00
Friday
  07: 00-17: 00
Saturday
 closed",coffee shop,7.1,True,False,True,True,https://www.facebook.com/edmundcoffee,https://www.instagram.com,https://www.google.com,7,0,0.0,956,1224,4,False,6513614
Unza,03-6486060,"Rabbi Hanina 3, Tel Aviv-Yafo","Sunday
 closed
Monday
  18: 30-23: 00
Tuesday
  18: 30-23: 00
Wednesday
  18: 30-23: 00
Thursday
  18: 30-23: 00
Friday
  14: 00-23: 00
Saturday
  14: 30-23: 00",Restaurant,6.9,True,True,True,True,https://www.facebook.com/1430294677182150,https://www.instagram.com/onza_jaffa/,http://onza.co.il,11,6,4.0,1062,3,0,False,6813731
mae coffee,03-5102266,"Tuval 15, Ramat Gan","Sunday
  07: 30-17: 00
Monday
  07: 30-17: 00
Tuesday
  07: 30-17: 00
Wednesday
  07: 30-17: 00
Thursday
  07: 30-17: 00
Friday
  08: 30-15: 00
Saturday
 closed",A chain of cafes,9.3,True,False,False,False,https://www.facebook.com/252559581446000,https://www.instagram.com,http://maecafe.com,4,0,0.0,445,462,0,False,5252230
Cflix,03-5250388,"King Solomon 12, Tel Aviv-Yafo","Sunday
  07: 00-19: 00
Monday
  07: 00-19: 00
Tuesday
  07: 00-19: 00
Wednesday
  07: 00-19: 00
Thursday
  07: 00-19: 00
Friday
  07: 00-15: 00
Saturday
 closed",A chain of cafes,8.5,False,False,False,False,https://www.facebook.com/160094847427575,https://www.instagram.com,http://cafelix.co.il,7,1,0.0,326,1045,3,False,6437712
