Unnamed: 0.1,resturant_name,customer_name,customer_reviews_number,customer_reviews_date,comments,number_number_of_star
177,Motpak,A lior,8.0,19/03/2019,"Okay, let's start by saying I'm crazy about this place !!! crazy!!! Service of people with huge hearts and souls !!! Fresh food made to the highest standards !!! Regarding food .. I have no words .. just the best donor you will eat in your life .. after one time in Motpak your life changes beyond recognition, any shawarma or what claims to be another donor just will not pass in your throat, after you eat in Motpak you will know what true happiness is !! ! Recommended Recommended Recommended !!!",5.0
178,Motpak,Nir B.,1.0,09/03/2022,"Even in Istanbul it is difficult to find donor at this level. Just an excellent dish, deliciously tasty.",5.0
179,Motpak,my age i.,15.0,06/01/2022,Wow wow and more wow amazing the good shawarma I ate in Israel just amazing everything is good I have nothing to expand wow,5.0
180,Motpak,Adam Z.,4.0,01/06/2020,"The most delicious donut you will eat in the country. Authentic Turkish (up to the level of Turkish music from the TV and shouting in Turkish from the kitchen). Excellent service from nice people. The only downside is the location, here you come for the food.",5.0
181,Motpak,Zohar S.,2.0,01/02/2022,"A crazy little restaurant. Excellent shawarma, egg yolk and family. Just a pleasure.",5.0
182,Motpak,Idan S.,1.0,23/02/2022,I did not like a small and not tasty place at all ..,1.0
183,Motpak,David R.,2.0,23/02/2022,The most delicious shawarma I have ever eaten! Worth every penny,5.0
184,Motpak,Itamar R.,2.0,09/07/2020,"Crazy, the highest quality shawarma I have ever eaten. It's better not to come, so that I do not start to have long queues on subsequent visits :) The highest level there is, in all parameters.",5.0
185,Motpak,daniel m.,2.0,22/03/2022,The most delicious in the country,5.0
186,Motpak,In Hanan.,4.0,21/03/2022,A dream of a place,5.0
187,Motpak,Shay H.,2.0,21/03/2022,Excellent,5.0
188,Motpak,Robert A.,8.0,27/08/2021,"Top 5 shawarma in the country, just a pleasure every time again. Chewed a little that is not the most pampering with the amount of meat",5.0
189,Motpak,Moshe Z.,6.0,15/01/2022,One of the best !!! The taste of shawarma ... a dream😋,5.0
190,Motpak,See also B.,2.0,23/08/2021,"Very tasty, a little salty for my taste. I was missing chips because there is no place",4.0
191,Motpak,Ill a.,5.0,28/08/2021,Delicious. Do not give up shawarma for hamajon with yogurt ... amazing.,5.0
192,Motpak,Israel S.,4.0,25/06/2021,A wonderful Turkish shawarma dish. There is room to upgrade the restaurant in the future.,4.0
193,Motpak,amir t.,1.0,10/01/2022,A delicious place for murder ...,5.0
194,Motpak,Silane L.,4.0,13/09/2021,The best oatmeal I have ever eaten! Do not give up yogurt,5.0
195,Motpak,Vitali P.,10.0,07/01/2020,"Shawarma is very tasty, I took to my nose, finished and still left hungry. A small portion. Better a plate.",4.0
196,Motpak,Jonathan J.,9.0,03/08/2020,"There is no why. Just had, mediocre food, not terrible, but any other shawarma would be tastier better to give up",3.0
197,Motpak,ariel k.,1.0,02/07/2020,Life can be divided before and after Iskander. The most delicious shawarma I have ever eaten in my life,5.0
198,Motpak,Maya C.,21.0,09/05/2019,Amazing shawarma! Their Iskander is one of the most delicious dishes I have ever eaten in my life,5.0
199,Motpak,Ofer H.,2.0,08/02/2021,Kebab donor at the highest level,5.0
200,Motpak,Dana P.,15.0,25/02/2019,"The most worthwhile shawarma in town, especially the Iskander, is as delicious as in Turkey. do not miss.",5.0
201,Motpak,Or G.,3.0,14/07/2021,recommended,5.0
